danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.634,0.625,1,-3.009,1,0.0619,0.237,0,0.1,0.624,79.001,audio_features,3eTlp8lhxZX9rV8aUH91Wl,spotify:track:3eTlp8lhxZX9rV8aUH91Wl,https://api.spotify.com/v1/tracks/3eTlp8lhxZX9rV8aUH91Wl,https://api.spotify.com/v1/audio-analysis/3eTlp8lhxZX9rV8aUH91Wl,239013,4
0.525,0.625,1,-5.335,1,0.0354,0.727,0,0.271,0.734,79.074,audio_features,3UDT3o55JaIA9qXnO4tKg0,spotify:track:3UDT3o55JaIA9qXnO4tKg0,https://api.spotify.com/v1/tracks/3UDT3o55JaIA9qXnO4tKg0,https://api.spotify.com/v1/audio-analysis/3UDT3o55JaIA9qXnO4tKg0,174235,4
0.498,0.625,8,-7.105,1,0.0569,0.194,1.35E-06,0.122,0.761,77.857,audio_features,1WhCh2Q5YzTRCNIewUbnfz,spotify:track:1WhCh2Q5YzTRCNIewUbnfz,https://api.spotify.com/v1/tracks/1WhCh2Q5YzTRCNIewUbnfz,https://api.spotify.com/v1/audio-analysis/1WhCh2Q5YzTRCNIewUbnfz,174512,4
0.71,0.75,6,-7.47,0,0.454,0.34,0,0.107,0.0749,169.274,audio_features,7rT8kBQFBfnxobAmK764j0,spotify:track:7rT8kBQFBfnxobAmK764j0,https://api.spotify.com/v1/tracks/7rT8kBQFBfnxobAmK764j0,https://api.spotify.com/v1/audio-analysis/7rT8kBQFBfnxobAmK764j0,196000,4
0.579,0.75,11,-7.753,0,0.0644,0.0414,0,0.365,0.394,114.11,audio_features,6JyaJIMaVfQHbOKKne9s9x,spotify:track:6JyaJIMaVfQHbOKKne9s9x,https://api.spotify.com/v1/tracks/6JyaJIMaVfQHbOKKne9s9x,https://api.spotify.com/v1/audio-analysis/6JyaJIMaVfQHbOKKne9s9x,219164,4
0.601,0.75,6,-5.842,0,0.0732,0.39,4.10E-05,0.0628,0.372,94.064,audio_features,2lbU17E2gPvtyBJTMQR5nu,spotify:track:2lbU17E2gPvtyBJTMQR5nu,https://api.spotify.com/v1/tracks/2lbU17E2gPvtyBJTMQR5nu,https://api.spotify.com/v1/audio-analysis/2lbU17E2gPvtyBJTMQR5nu,307499,4
0.511,0.75,11,-4.448,0,0.259,0.00096,1.91E-05,0.0551,0.839,104.469,audio_features,2eZRrCVcXsZdw9IedA5url,spotify:track:2eZRrCVcXsZdw9IedA5url,https://api.spotify.com/v1/tracks/2eZRrCVcXsZdw9IedA5url,https://api.spotify.com/v1/audio-analysis/2eZRrCVcXsZdw9IedA5url,213173,4
0.743,0.75,6,-6.53,0,0.0281,0.226,0,0.149,0.702,101.009,audio_features,3ZMP97Xiq3liVKrt70Nomu,spotify:track:3ZMP97Xiq3liVKrt70Nomu,https://api.spotify.com/v1/tracks/3ZMP97Xiq3liVKrt70Nomu,https://api.spotify.com/v1/audio-analysis/3ZMP97Xiq3liVKrt70Nomu,192559,4
0.363,0.75,7,-4.093,1,0.113,0.332,0,0.211,0.698,198.992,audio_features,3fDuGQ56ungfK4IKkbw0od,spotify:track:3fDuGQ56ungfK4IKkbw0od,https://api.spotify.com/v1/tracks/3fDuGQ56ungfK4IKkbw0od,https://api.spotify.com/v1/audio-analysis/3fDuGQ56ungfK4IKkbw0od,205500,4
0.363,0.75,7,-4.093,1,0.113,0.332,0,0.211,0.698,198.992,audio_features,1G92bHKGDqi0ZElzGJmggu,spotify:track:1G92bHKGDqi0ZElzGJmggu,https://api.spotify.com/v1/tracks/1G92bHKGDqi0ZElzGJmggu,https://api.spotify.com/v1/audio-analysis/1G92bHKGDqi0ZElzGJmggu,205500,4
